分类,故障模式,故障场景,故障注入手段,优先级,自动化状态,自动化用例路径,SMTX OS 5.1.0 测试,SMTX OS 5.0.6 测试,SMTX OS 5.1.1 测试,SMTX OS 6.0.0 测试
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 ZBS NTPd Follower 所在的节点的存储网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 ZBS NTPd Follower 所在的节点的迁移网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 ZBS NTPd Follower 所在的节点的接入网络入方向的数据包被拒绝,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,Primary MongoDB 所在的节点的管理网络入方向的数据包被拒绝,,P1,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,Primary MongoDB 所在的节点的存储网络入方向的数据包被拒绝,,P1,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,Primary MongoDB 所在的节点的迁移网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,Primary MongoDB 所在的节点的接入网络入方向的数据包被拒绝,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 Secondary MongoDB 所在的节点的管理网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 Secondary MongoDB 所在的节点的存储网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 Secondary MongoDB 所在的节点的迁移网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 Secondary MongoDB 所在的节点的接入网络入方向的数据包被拒绝,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,运行 Prometheus 服务的节点的管理网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,运行 Prometheus 服务的节点的存储网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,运行 Prometheus 服务的节点的迁移网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,运行 Prometheus 服务的节点的接入网络入方向的数据包被拒绝,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,Siren Leader 所在的节点的管理网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,Siren Leader 所在的节点的存储网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,Siren Leader 所在的节点的迁移网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,Siren Leader 所在的节点的接入网络入方向的数据包被拒绝,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,NTPm Leader 所在的节点的管理网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,NTPm Leader 所在的节点的存储网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,NTPm Leader 所在的节点的迁移网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,NTPm Leader 所在的节点的接入网络入方向的数据包被拒绝,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 NTPm Follower 所在的节点的管理网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 NTPm Follower 所在的节点的存储网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 NTPm Follower 所在的节点的迁移网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 NTPm Follower 所在的节点的接入网络入方向的数据包被拒绝,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,集群内 NTP Server 所在的节点的管理网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,集群内 NTP Server 所在的节点的存储网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,集群内 NTP Server 所在的节点的迁移网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,集群内 NTP Server 所在的节点的接入网络入方向的数据包被拒绝,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,一个非集群内 NTP Server 所在的节点的管理网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,一个非集群内 NTP Server 所在的节点的存储网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,一个非集群内 NTP Server 所在的节点的迁移网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,一个非集群内 NTP Server 所在的节点的接入网络入方向的数据包被拒绝,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,一个存储节点的管理网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,一个存储节点的存储网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,一个存储节点的迁移网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,一个存储节点的接入网络入方向的数据包被拒绝,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,任意一个节点的虚拟机网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,任意一个节点的 PCI 直通或 SR-IOV 直通网口入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,双活集群的仲裁节点的管理网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,入方向数据包被拒绝（随机拒绝率，随机持续时间）,双活集群的仲裁节点的存储网络入方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,ZBS Metad Leader 所在的主节点的管理网络出方向的数据包被拒绝,,P1,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,ZBS Metad Leader 所在的主节点的存储网络出方向的数据包被拒绝,,P1,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,ZBS Metad Leader 所在的主节点的迁移网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,ZBS Metad Leader 所在的主节点的接入网络出方向的数据包被拒绝,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 ZBS Metad Follower 所在的主节点的管理网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 ZBS Metad Follower 所在的主节点的存储网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 ZBS Metad Follower 所在的主节点的迁移网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 ZBS Metad Follower 所在的主节点的接入网络出方向的数据包被拒绝,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,Zookeeper Leader 所在的节点的管理网络出方向的数据包被拒绝,,P1,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,Zookeeper Leader 所在的节点的存储网络出方向的数据包被拒绝,,P1,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,Zookeeper Leader 所在的节点的迁移网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,Zookeeper Leader 所在的节点的接入网络出方向的数据包被拒绝,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 Zookeeper Follower 所在的节点的管理网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 Zookeeper Follower 所在的节点的存储网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 Zookeeper Follower 所在的节点的迁移网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 Zookeeper Follower 所在的节点的接入网络出方向的数据包被拒绝,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,ZBS Taskd Leader 所在的节点的管理网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,ZBS Taskd Leader 所在的节点的存储网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,ZBS Taskd Leader 所在的节点的迁移网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,ZBS Taskd Leader 所在的节点的接入网络出方向的数据包被拒绝,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 ZBS Taskd Follower 所在的节点的管理网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 ZBS Taskd Follower 所在的节点的存储网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 ZBS Taskd Follower 所在的节点的迁移网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 ZBS Taskd Follower 所在的节点的接入网络出方向的数据包被拒绝,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,ZBS NTPd Leader 所在的节点的管理网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,ZBS NTPd Leader 所在的节点的存储网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,ZBS NTPd Leader 所在的节点的迁移网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,ZBS NTPd Leader 所在的节点的接入网络出方向的数据包被拒绝,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 ZBS NTPd Follower 所在的节点的管理网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 ZBS NTPd Follower 所在的节点的存储网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 ZBS NTPd Follower 所在的节点的迁移网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 ZBS NTPd Follower 所在的节点的接入网络出方向的数据包被拒绝,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
